,PARAMETER,DATA_REPOSITORY,INCLUDE,PARAMETER_GENERAL
1662473,specific conductivity,Columbia Basin Waterhub,1,Specific Conductance
1662786,Strontium,Columbia Basin Waterhub,1,Strontium Total
5,Strontium Dissolved,Environmental Monitoring System,1,Strontium Dissolved
6,Strontium Total,Environmental Monitoring System,1,Strontium Total
1988944,Strontium Total,CABIN,1,Strontium Total
1661356,"Strontium, dissolved",Columbia Basin Waterhub,1,Strontium Dissolved
1661405,"Strontium, total",Columbia Basin Waterhub,1,Strontium Total
1661649,"Strontium, Total",Columbia Basin Waterhub,1,Strontium Total
1661326,Sulfate,Columbia Basin Waterhub,2,Sulfate Total
49,Sulfate Dissolved,Environmental Monitoring System,2,Sulfide Dissolved
275479,Sulfate Total,Environmental Monitoring System,2,Sulfate Total
174293,Sulfide Dissolved,Environmental Monitoring System,2,Sulfide Dissolved
60182,Sulfide Total,Environmental Monitoring System,2,Sulfide Total
1662792,Sulfur,Columbia Basin Waterhub,2,Sulfur Total
1988923,Sulfur,CABIN,2,Sulfur Total
3,Sulfur Dissolved,Environmental Monitoring System,2,Sulfur Dissolved
61150,Sulfur Total,Environmental Monitoring System,2,Sulfur Total
1661357,"Sulfur, dissolved",Columbia Basin Waterhub,2,Sulfur Dissolved
1661406,"Sulfur, total",Columbia Basin Waterhub,2,Sulfur Total
1988925,Sulphate,CABIN,2,Sulfate Total
1661661,"Sulphur, Total",Columbia Basin Waterhub,2,Sulfur Total
1296444,Tellerium Dissolved,Environmental Monitoring System,1,Tellerium Dissolved
712647,Tellurium Total,Environmental Monitoring System,1,Tellurium Total
1993195,Tellurium Total,CABIN,1,Tellurium Total
1661358,"Tellurium, dissolved",Columbia Basin Waterhub,1,Tellerium Dissolved
1661407,"Tellurium, total",Columbia Basin Waterhub,1,Tellurium Total
16,Temperature,Environmental Monitoring System,2,Temperature
1662536,Temperature,Columbia Basin Waterhub,2,Temperature
146,Temperature-Field,Environmental Monitoring System,2,Temperature
1662798,Thallium,Columbia Basin Waterhub,1,Thallium Total
654,Thallium Dissolved,Environmental Monitoring System,,Thallium Dissolved
317,Thallium Total,Environmental Monitoring System,1,Thallium Total
1988954,Thallium Total,CABIN,1,Thallium Total
1661359,"Thallium, dissolved",Columbia Basin Waterhub,1,Thallium Dissolved
1661408,"Thallium, total",Columbia Basin Waterhub,1,Thallium Total
1661650,"Thallium, Total",Columbia Basin Waterhub,1,Thallium Total
1296446,Thorium Dissolved,Environmental Monitoring System,1,Thorium Dissolved
1296447,Thorium Total,Environmental Monitoring System,1,Thorium Total
1993177,Thorium Total,CABIN,1,Thorium Total
1661360,"Thorium, dissolved",Columbia Basin Waterhub,1,Thorium Dissolved
1661409,"Thorium, total",Columbia Basin Waterhub,1,Thorium Total
1662804,Tin,Columbia Basin Waterhub,1,Tin Total
327,Tin Dissolved,Environmental Monitoring System,1,Tin Dissolved
212,Tin Total,Environmental Monitoring System,1,Tin Total
1989047,Tin Total,CABIN,1,Tin Total
1661361,"Tin, dissolved",Columbia Basin Waterhub,1,Tin Dissolved
1661410,"Tin, total",Columbia Basin Waterhub,1,Tin Total
1661651,"Tin, Total",Columbia Basin Waterhub,1,Tin Total
1662810,Titanium,Columbia Basin Waterhub,1,Titanium Total
851,Titanium Dissolved,Environmental Monitoring System,1,Titanium Dissolved
63338,Titanium Total,Environmental Monitoring System,1,Titanium Total
1989760,Titanium Total,CABIN,1,Titanium Total
1661362,"Titanium, dissolved",Columbia Basin Waterhub,1,Titanium Dissolved
1661411,"Titanium, total",Columbia Basin Waterhub,1,Titanium Total
1661652,"Titanium, Total",Columbia Basin Waterhub,1,Titanium Total
1988960,Total Alkalinity to 4.5,CABIN,1,Alkalinity Total 4.5 (as CaCO3)
1992283,Total Chloride,CABIN,1,Chloride Total
1662025,Total Coliforms DST,Columbia Basin Waterhub,1,Coliform Total
1990946,Total Dissolved Nitrogen,CABIN,2,Nitrogen Total Dissolved
1989252,Total Dissolved Phosphorus,CABIN,2,Phosphorus Total Dissolved
1989265,Total Nitrogen,CABIN,2,Nitrogen Total
301,Total Nitrogen NO2 + NO3,Environmental Monitoring System,2,Nitrate(NO3) + Nitrite(NO2) Total
1989282,Total Organic Carbon,CABIN,2,Carbon Total Organic
1989253,Total Organic Nitrogen,CABIN,2,Nitrogen Total Organic
